id	name	short_name	bio	photo	racing	iowa	new_hampshire	nevada	south_carolina	alabama	overseas	arkansas	california	north_carolina	colorado	maine	massachusetts	minnesota	oklahoma	samoa	tennessee	texas	utah	vermont	virginia	north_dakota	idaho	michigan	mississippi	missouri	washington	northern_mariana_islands	arizona	florida	illinois	ohio	georgia	puerto_rico	alaska	hawai	louisiana	wyoming	wisconsin	connecticut	delaware	maryland	new_york	pennsylvania	rhode_island	guam	kansas	indiana	nebraska	west_virginia	kentucky	oregon	south_dakota	montana	new_jersey	new_mexico	washington_dc	virgin_islands	id	name	date	type	nb_delegates	title	slug	url
																																																															maine	Maine	3/03/2020	Primaire	24			
																																																															massachusetts	Massachusetts	3/03/2020	Primaire	91			
																																																															minnesota	Minnesota	3/03/2020	Primaire	75			
																																																															oklahoma	Oklahoma	3/03/2020	Primaire	37			
																																																															samoa	Samoa américaines	3/03/2020	Caucus	6			
																																																															tennessee	Tennessee	3/03/2020	Primaire	64			
																																																															texas	Texas	3/03/2020	Primaire	228			
																																																															utah	Utah	3/03/2020	Primaire	29			
																																																															vermont	Vermont	3/03/2020	Primaire	16			
																																																															virginia	Virginie	3/03/2020	Primaire	99			
																																																															north_dakota	Dakota du Nord	10/03/2020	Primaire	14			
																																																															idaho	Idaho	10/03/2020	Primaire	20			
																																																															michigan	Michigan	10/03/2020	Primaire	125			
																																																															mississippi	Mississippi	10/03/2020	Primaire	36			
																																																															missouri	Missouri	10/03/2020	Primaire	68			
																																																															washington	Washington	10/03/2020	Primaire	89			
																																																															northern_mariana_islands	Iles Mariannes du Nord	14/03/2020	Caucus	6			
																																																															arizona	Arizona	17/03/2020	Primaire	67			
																																																															florida	Floride	17/03/2020	Primaire	219			
																																																															illinois	Illinois	17/03/2020	Primaire	155			
																																																															ohio	Ohio	28/04/2020	Primaire	136			
																																																															georgia	Géorgie	19/05/2020	Primaire	105			
																																																															puerto_rico	Puerto Rico	26/04/2020	Primaire	51			
																																																															alaska	Alaska	11/04/2020	Primaire	15			
																																																															hawai	Hawaï	23/05/2020	Primaire	24			
																																																															louisiana	Louisiane	20/06/2020	Primaire	54			
																																																															wyoming	Wyoming	17/04/2020	Caucus	14			
																																																															wisconsin	Wisconsin	7/04/2020	Primaire	84			
																																																															connecticut	Connecticut	2/06/2020	Primaire	60			
																																																															delaware	Delaware	2/06/2020	Primaire	21			
																																																															maryland	Maryland	2/06/2020	Primaire	96			
																																																															new_york	New York	23/06/2020	Primaire	274			
																																																															pennsylvania	Pennsylvanie	2/06/2020	Primaire	186			
																																																															rhode_island	Rhode Island	2/06/2020	Primaire	26			
																																																															guam	Guam	2/05/2020	Caucus	7			
																																																															kansas	Kansas	2/05/2020	Primaire	39			
																																																															indiana	Indiana	2/06/2020	Primaire	82			
																																																															nebraska	Nebraska	12/05/2020	Primaire	29			
																																																															west_virginia	Virginie occidentale	9/06/2020	Primaire	28			
																																																															kentucky	Kentucky	23/06/2020	Primaire	54			
																																																															oregon	Oregon	19/05/2020	Primaire	61			
																																																															south_dakota	Dakota du Sud	2/06/2020	Primaire	16			
																																																															montana	Montana	2/06/2020	Primaire	19			
																																																															new_jersey	New Jersey	2/06/2020	Primaire	126			
																																																															new_mexico	Nouveau Mexique	2/06/2020	Primaire	34			
																																																															washington_dc	Washington D.C.	2/06/2020	Primaire	20			
																																																															virgin_islands	Iles vierges	6/06/2020	Caucus	7			
